"","V1","V2"
"1",1.63240954298328e-35,9.54745248152538e-19
"2",6.16460461546088e-13,0.0200616238764352
"3",1.19232436796028e-26,1.83315804242964e-07
"4",5.91211623578869e-12,5.08482524485605e-32
"5",7.50913432812731e-45,5.51471310486484e-46
"6",7.35398309906776e-28,9.25398795275337e-27
"7",0.00348050836696851,1.12022302788866e-38
"8",5.63160847411119e-55,1.0093362292533e-22
"9",5.9602328448044e-35,0.007408893566256
"10",2.6809865338293e-27,9.93330991703916e-31
"11",1.51620998906414e-44,1.93059929737204e-16
"12",4.87568860550145e-41,0.000245505407972191
"13",6.33358418948998e-24,1.21465985927135e-29
"14",3.69060469534776e-62,8.0286354017847e-10
"15",5.57225385640999e-25,4.2348879312862e-13
"16",3.03937840341306e-57,3.49389885588379e-47
"17",0.00302372623355144,1.14125512330661e-37
"18",5.34911481970538e-42,7.87597923002595e-10
"19",8.93005034985783e-38,7.31472875937037e-39
"20",6.53496134864493e-23,5.82187809398468e-22
"21",9.3036068634865e-61,1.15082050974756e-15
"22",7.85659966762744e-13,1.66755363843937e-31
"23",5.34634416432842e-12,1.05181408158091e-13
"24",7.5029907221472e-30,0.00947789390509506
"25",3.74731977084389e-17,8.6976238129413e-21
"26",9.10732950782478e-52,4.96214997333801e-12
"27",1.64355973368282e-20,4.2551155013235e-06
"28",6.49192484787296e-18,1.23016041190854e-08
"29",3.41639816323441e-06,1.52014970647946e-15
"30",1.22988780544517e-58,9.40941055323058e-11
"31",3.60371499143024e-31,2.42589076242787e-26
"32",6.66621753095074e-12,0.00295387036946843
"33",2.59445256258392e-52,7.20991196205543e-08
"34",0.00304878443561285,2.63757204508605e-33
"35",0.0037014316338631,1.05905211506437e-26
"36",2.41588985590688e-34,2.3704425525384e-13
"37",3.09369418793468e-14,2.42922050249633e-15
"38",8.92474350693867e-05,1.14407753401528e-07
"39",4.37113193301952e-34,1.13865146508675e-28
"40",7.73137744792754e-48,4.21591536257086e-34
"41",0.0031923103686191,1.15328713148307e-28
"42",4.35916935474005e-08,0.00635264714545515
"43",0.0025521577107789,2.1418295829802e-32
"44",1.92495025272789e-31,4.8268129518063e-36
"45",1.69191097095161e-26,6.59200217949426e-28
"46",1.85882308152937e-47,4.53110681748381e-17
"47",1.1353512092703e-18,3.40866673628201e-07
"48",2.08280514144339e-53,3.35470941030863e-18
"49",1.68834483741923e-41,2.58379892836196e-20
"50",5.2504905430166e-49,4.07405493296778e-33
"51",2.00856651608322e-48,2.48698796304815e-30
"52",3.72509432104307e-18,0.0193994225176585
"53",5.60946424324728e-19,1.24479863797367e-31
"54",5.23131986333442e-27,3.48700648807664e-23
"55",1.07506689226786e-13,0.0182058733055338
"56",0.00258751017458627,1.00626306191587e-25
"57",1.91962560620218e-27,3.04254392602845e-16
"58",2.98772858300009e-82,1.12408714397527e-23
"59",2.19903352453914e-19,4.49910725741959e-07
"60",5.79773629066199e-23,2.72104832374976e-12
"61",5.74818889282554e-58,8.5406293309019e-43
"62",5.00656170336433e-16,4.88131360138388e-08
"63",2.84343532270737e-48,1.66870282971314e-25
"64",2.87007934562651e-52,7.72988317728571e-18
"65",1.03118341948336e-22,1.84064199824977e-29
"66",3.50621841601854e-15,1.06775257660137e-19
